Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Recording date	Recording start time	Recording duration [ms]	Event	Event value	Gaze point X [DACS px]	Gaze point Y [DACS px]	Gaze point left X [DACS px]	Gaze point left Y [DACS px]	Gaze point right X [DACS px]	Gaze point right Y [DACS px]	Pupil diameter left [mm]	Pupil diameter right [mm]	Pupil diameter filtered [mm]	Eye openness left [mm]	Eye openness right [mm]	Eye openness filtered [mm]	Validity left	Validity right	Presented Stimulus name	Eye movement type	Eye movement event duration [ms]	Eye movement type index
0	504486281		Demo	7/31/25	P1	3/11/25	19:04.0	114950	RecordingStart																			
41	504486322	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			803	803	801	790	805	816	5.192	5.313	5.253				Valid	Valid		Fixation	445	1
43	504486323	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			803	802	799	791	806	813	5.192	5.316	5.254				Valid	Valid		Fixation	445	1
44	504486325	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			804	801	801	789	807	813	5.193	5.315	5.254				Valid	Valid		Fixation	445	1
46	504486327	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			805	801	802	790	808	812	5.194	5.316	5.255				Valid	Valid		Fixation	445	1
48	504486328	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			803	801	801	790	805	812	5.195	5.317	5.256				Valid	Valid		Fixation	445	1
49	504486330	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			805	801	804	790	806	813	5.197	5.318	5.258				Valid	Valid		Fixation	445	1
51	504486332	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			803	801	804	789	803	812	5.195	5.319	5.257				Valid	Valid		Fixation	445	1
53	504486333	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			803	801	803	791	802	811	5.196	5.32	5.258				Valid	Valid		Fixation	445	1
54	504486335	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			802	801	803	789	801	813	5.197	5.321	5.259				Valid	Valid		Fixation	445	1
56	504486337	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			802	801	803	790	801	813	5.198	5.322	5.26				Valid	Valid		Fixation	445	1
58	504486338	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			802	801	803	789	800	812	5.198	5.323	5.261				Valid	Valid		Fixation	445	1
59	504486340	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			803	801	804	789	802	812	5.199	5.322	5.261				Valid	Valid		Fixation	445	1
61	504486342	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			801	800	802	789	800	811	5.202	5.325	5.263				Valid	Valid		Fixation	445	1
63	504486343	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			801	800	805	791	797	810	5.202	5.324	5.263				Valid	Valid		Fixation	445	1
64	504486345	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			801	802	804	790	798	813	5.201	5.326	5.263				Valid	Valid		Fixation	445	1
66	504486347	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			803	798	803	790	803	807	5.202	5.34	5.271				Valid	Valid		Fixation	445	1
67	504486348	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			801	802	804	792	798	812	5.203	5.328	5.266				Valid	Valid		Fixation	445	1
69	504486350	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			801	802	802	791	800	813	5.204	5.331	5.268				Valid	Valid		Fixation	445	1
71	504486352	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			803	801	803	788	803	813	5.206	5.329	5.267				Valid	Valid		Fixation	445	1
72	504486353	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			803	801	805	787	802	815	5.207	5.33	5.268				Valid	Valid		Fixation	445	1
74	504486355	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			804	801	804	788	804	813	5.207	5.333	5.27				Valid	Valid		Fixation	445	1
76	504486357	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			803	801	805	787	802	815	5.209	5.333	5.271				Valid	Valid		Fixation	445	1
77	504486358	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			803	800	804	786	802	815	5.21	5.333	5.271				Valid	Valid		Fixation	445	1
79	504486360	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			804	800	803	788	805	812	5.21	5.337	5.274				Valid	Valid		Fixation	445	1
81	504486362	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			804	800	803	789	804	812	5.211	5.336	5.274				Valid	Valid		Fixation	445	1
82	504486363	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			804	800	804	788	804	812	5.212	5.337	5.275				Valid	Valid		Fixation	445	1
84	504486365	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			804	800	804	788	804	812	5.214	5.339	5.276				Valid	Valid		Fixation	445	1
86	504486367	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			806	799	806	787	806	810	5.211	5.34	5.275				Valid	Valid		Fixation	445	1
87	504486368	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			805	800	807	787	804	813	5.214	5.34	5.277				Valid	Valid		Fixation	445	1
89	504486370	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			804	799	806	787	802	812	5.216	5.342	5.279				Valid	Valid		Fixation	445	1
91	504486372	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			806	800	807	787	804	812	5.216	5.34	5.278				Valid	Valid		Fixation	445	1
92	504486373	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			805	799	807	786	803	812	5.218	5.343	5.281				Valid	Valid		Fixation	445	1
94	504486375	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			805	800	807	787	803	814	5.218	5.343	5.281				Valid	Valid		Fixation	445	1
96	504486377	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			804	799	806	787	803	810	5.219	5.344	5.282				Valid	Valid		Fixation	445	1
97	504486378	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			805	799	809	786	802	811	5.22	5.346	5.283				Valid	Valid		Fixation	445	1
99	504486380	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			804	799	807	787	801	810	5.221	5.347	5.284				Valid	Valid		Fixation	445	1
101	504486382	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			804	799	806	786	802	811	5.22	5.346	5.283				Valid	Valid		Fixation	445	1
102	504486383	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			804	799	808	787	801	810	5.221	5.347	5.284				Valid	Valid		Fixation	445	1
104	504486385	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			804	799	807	786	802	813	5.219	5.35	5.284				Valid	Valid		Fixation	445	1
106	504486387	Eye Tracker	Demo	7/31/25	P1	3/11/25	19:04.0	114950			805	799	809	785	802	812	5.224	5.351	5.288				Valid	Valid		Fixation	445	1
